region_key,region_name,research_status,contribution_status,contribution_year,reference_monthly,contribution_min,contribution_max,calc_base_status,calc_base_year,calc_base_value,calc_base_unit,contribution_source_level,calc_base_source_level,reference_source_url,formula_source_url,contribution_source_url,calc_base_source_url,fallback_eligible,contribution_runtime_eligible,calc_base_runtime_eligible,note
guangdong,广东,fallback_verified_subregional,recent_fallback,2025,,,27549,recent_fallback,2025,9493,yuan/month,official_primary,official_primary,,,https://guangdong.chinatax.gov.cn/gdsw/ssfggds/2025-10/27/content_ba2a20bf040648e089f9edf9f557fa2b.shtml,https://guangdong.chinatax.gov.cn/gdsw/ssfggds/2025-10/27/content_ba2a20bf040648e089f9edf9f557fa2b.shtml,true,true,true,广东2025计发基数9493已有三部门正式文件；深圳企业职工另按深圳人社正式答复11293，已写入subregions。缴费下限仍分广州/省直、其他地区，深圳缴费参数继续单独处理。
guangxi,广西,fallback_verified_with_calc,recent_fallback,2025,6905,4143,20715,recent_fallback,2025,6983,yuan/month,official_primary,official_primary,,,https://guangxi.chinatax.gov.cn/xwdt/ztzl/jdxjmqysbf/zcwj_16519/202511/t20251127_425843.html,http://rst.gxzf.gov.cn/zwgk/xxgkzcfg/fgfxlm/t25993557.shtml,true,true,true,2025缴费上下限4143—20715可保底；桂人社发〔2025〕43号明确2025职工基本养老保险待遇计发基数6983元/月，已固定广西人社官方原文地址。
hainan,海南,fallback_verified_primary_url,recent_fallback,2025,,4912.8,24564,missing,,,,official_primary,missing,,,https://hrss.hainan.gov.cn/hrss/0503/202509/802b311fa8cd4218821074e1ae087a86.shtml?ddtab=true,,true,true,false,2025缴费上下限4912.8—24564有海南人社原文。网络常见8188系由缴费上限÷3反推，官方通知并未明确其为基本养老金计发基数，按字典规则拒绝推导；养老金计算参考值保持手填。
chongqing,重庆,fallback_verified_calc_candidate_manual,recent_fallback,2025,,4404,22017,missing,,,,official_primary,missing,,,https://rlsbj.cq.gov.cn/zwgk_182/zfxxgkml/zcwj_145360/jfxzgfxwj/202509/t20250919_15024385.html,,true,true,false,2025缴费上下限4404—22017有重庆人社原文。8240元/月在多处资料中高度一致，但本轮未找到重庆人社可直接引用的养老金参数正文；已确认渝人社规〔2025〕24号实际为治理欠薪文件，不能作为养老金来源。8240仅作研究线索，生产默认保持手填。
sichuan,四川,fallback_verified_calc_candidate_manual,recent_fallback,2025,,4588,22938,missing,,,,official_local_reprint,missing,,,https://rsj.yaan.gov.cn/xinwen/show/05f5a92513584af1395fdc63c3dc0fcd.html,,true,true,false,2025缴费上下限4588—22938已有地方人社官方页。8462元/月在退休核定案例和多方资料中高度一致，但截至本轮仍未找到四川人社/政府公开的正式计发基数通知；生产默认保持手填，不把8462冒充官方公开值。
guizhou,贵州,fallback_verified_formula_with_calc_anchor,recent_fallback_derived,2025,7324.5,4394.7,21973.5,recent_fallback_formula_anchor,2025,7324.5,yuan/month,official_primary_formula_derived,official_primary_formula_anchor,https://rst.guizhou.gov.cn/zwgk/zfxxgk/fdzdgknr/qtfdxx/ggfwsx/202509/t20250919_88635347.html,https://guizhou.chinatax.gov.cn/xwzx/ztzl/qysdshsqjzl/xxwlqyssyhzc/202206/t20220621_75101588.html,,https://rst.guizhou.gov.cn/zwgk/zfxxgk/fdzdgknr/qtfdxx/ggfwsx/202509/t20250919_88635347.html,true,true,true,2025官方全口径年平均工资87894元（7324.5元/月），官方文件明确其用于确定2025基本养老金计发基数，省级统筹文件又明确全口径平均工资是计发基本养老金专用指标；作为官方公式锚点自动带入并标明年份。
yunnan,云南,current_verified_joint_notice,current,2026,7339,4403,22017,recent_fallback,2025,8265,yuan/month,official_joint_notice_state_media,official_mohrss_portal,,,https://www.yn.xinhuanet.com/20260829/77b8cbc9d5d3436fae154f284755e76e/c.html,https://chinajob.mohrss.gov.cn/c/2025-10-20/455967.shtml,true,true,true,云人社发〔2026〕8号四部门联合文件的标题、文号、7339基准及4403—22017上下限已由新华社、人民网和完整正文转载交叉确认，作为2026当前缴费参数正式接入；2025新增退休人员养老金计发基数8265由人社部中国就业网确认，可作保底。
xizang,西藏,fallback_verified_with_calc_anchor,recent_fallback,2025,11777,7066.2,35331,recent_fallback_formula_anchor,2025,11777,yuan/month,official_local_reprint,official_local_hrss_reprint,,,https://hrss.lasa.gov.cn/rsj/xxyw/202509/94481a07de4044239c6111a6cc4936ba.shtml,https://hrss.lasa.gov.cn/rsj/xxyw/202509/94481a07de4044239c6111a6cc4936ba.shtml,true,true,true,拉萨市人社局转载藏人社发〔2025〕56号，明确11777元/月作为全区基本养老保险基数征缴和待遇计发依据；2025缴费上下限7066.2—35331同源，可作为最近官方值保底。
shaanxi,陕西,split_quality_calc_candidate_manual,recent_fallback,2025,,4650,23250,missing,,,,official_primary,missing,,,https://shaanxi.chinatax.gov.cn/art/2025/9/30/art_5383_698154.html,,true,true,false,2025缴费上下限4650—23250已有陕西税务正式通告，可作为保底；7881元/月由上市公司公开文件明确引述“陕西省人力资源和社会保障厅数据”，但尚无陕西人社/政府公开原文直链。另已确认陕人社发〔2025〕24号是调整既有退休人员养老金文件，并非新增退休人员计发基数文件。7881仅作研究线索，生产默认保持手填。
gansu,甘肃,current_verified_with_fallback_calc,current,2026,7542,4526,22626,recent_fallback,2024,7594,yuan/month,official_primary_repost,official_local_hrss_reprint,,,https://zwfw.gansu.gov.cn/jiuquan/zczx/jqyw/art/2026/art_e7467f7bccaf485fb93880312f551b39.html,https://www.jyg.gov.cn/rsj/xwdt/bmdt/art/2025/art_2de3800b28314efb932da6c79eda737d.html,true,true,true,2026缴费参数当前可用；嘉峪关市人社局明确转载甘人社通〔2024〕330号，2024年甘肃基本养老金计发基数7594元/月，可作最近官方保底。2025年7746仅作研究线索，未固定官方公开原文前不自动使用。
qinghai,青海,split_quality,recent_fallback_derived,2025,8816,5289.6,26448,recent_fallback,2025,9056,yuan/month,official_text_republished_formula_derived,official_local_hrss_reprint,http://rsj.haibei.gov.cn/xwzx/tzgg/9282861.html,https://consult.17win.com/yqconsult-web-ssr/taxQuestionDetail/145/192537/article,,http://rsj.haibei.gov.cn/xwzx/tzgg/9282861.html,true,false,true,青人社厅发〔2025〕69号明确社会保险基数8816和养老金计发基数9056；灵活就业通告确认20%费率和25档机制。5289.6—26448仍只是按60%—300%公式值，待拿到官方25档附件原表后再把缴费上下限升级为自动带入。
ningxia,宁夏,fallback_verified,recent_fallback,2025,,4955,24774,recent_fallback,2025,8366,yuan/month,official_primary,official_primary,,,https://hrss.nx.gov.cn/xxgk/zcj/zcfg/shbz/202509/t20250921_5030586.html,https://hrss.nx.gov.cn/xxgk/zcj/zcfg/shbz/202509/t20250921_5030586.html,true,true,true,2026新参数尚未用未核验正文替换2025可靠官方值。
xinjiang,新疆,fallback_verified_with_calc_anchor,recent_fallback,2025,8448,5069,25344,recent_fallback_formula_anchor,2025,8448,yuan/month,official_primary,official_primary_formula_anchor,https://rst.xinjiang.gov.cn/xjrst/zcwj/202509/18cb0640282f47ed96226e02a95a9270.shtml,https://rst.xinjiang.gov.cn/xjrst/zcwj/202509/18cb0640282f47ed96226e02a95a9270.shtml,https://rst.xinjiang.gov.cn/xjrst/zcwj/202509/18cb0640282f47ed96226e02a95a9270.shtml,https://rst.xinjiang.gov.cn/xjrst/zcwj/202509/18cb0640282f47ed96226e02a95a9270.shtml,true,true,true,新疆人社厅官方明确2024全口径工资8448元/月，且该数据关系参保人员待遇核定；2026新缴费参数公布前官方仍沿用2025上下限。8448作为2025待遇核定公式锚点保底，前台标年份。
