region_key,region_name,research_status,contribution_status,contribution_year,reference_monthly,contribution_min,contribution_max,calc_base_status,calc_base_year,calc_base_value,calc_base_unit,source_level,reference_source_url,formula_source_url,contribution_source_url,calc_base_source_url,fallback_eligible,runtime_eligible,note
shandong,山东,fallback_verified_reprint,recent_fallback,2025,,4504,22518,missing,,,,official_local_reprint,,,https://www.jinan.gov.cn/col/col118356/art/2026/art_68ec8fccb74b466f915ae5db4cf93951.html,,true,true,7506是缴费工资指数等用途参数，暂不当养老金计发基数。
henan,河南,fallback_verified_reprint,recent_fallback,2025,6385,3831,19155,missing,,,,official_local_reprint,,,https://public.zzgx.gov.cn/D280901X/9691790.jhtml,,true,true,2025-07-01起；仍补省级原文。
hubei,湖北,fallback_verified_subregional,recent_fallback,2025,,,,missing,,,,official_primary,,,https://rst.hubei.gov.cn/zfxxgk/zc/qtzdgkwj/202509/t20250919_5775307.shtml,,true,true,官方分三档，不能存一个全省统一值；见subregions。
hunan,湖南,current_verified,current,2026,6843,4106,20529,recent_fallback,2025,7694,yuan/month,official_primary,,,https://rst.hunan.gov.cn/rst/xxgk/zcfg/zxzc/202608/t20260822_34049202.html,https://rst.hunan.gov.cn/rst/xxgk/zcfg/zxzc/202509/t20250922_33809937.html,true,true,缴费2026当前；计发基数用2025最近官方值保底。
guangdong,广东,fallback_verified_subregional,recent_fallback,2025,,,27549,recent_fallback,2025,9493,yuan/month,official_primary,,,https://guangdong.chinatax.gov.cn/gdsw/ssfggds/2025-10/27/content_ba2a20bf040648e089f9edf9f557fa2b.shtml,https://guangdong.chinatax.gov.cn/gdsw/ssfggds/2025-10/27/content_ba2a20bf040648e089f9edf9f557fa2b.shtml,true,true,下限分广州/省直与其他地区，深圳另算；见subregions。
guangxi,广西,fallback_verified,recent_fallback,2025,6905,4143,20715,missing,,,,official_primary,,,https://guangxi.chinatax.gov.cn/xwdt/ztzl/jdxjmqysbf/zcwj_16519/202511/t20251127_425843.html,,true,true,2025最近官方值保底。
hainan,海南,secondary_candidate,recent_fallback,2025,,4912.8,24564,missing,,,,secondary_reprint,,,https://haikou.bendibao.com/live/2025923/77563.shtm,,true,false,琼人社发〔2025〕67号数值已多源一致；仍需固定海南人社/税务官方原文直链后再自动带入。
chongqing,重庆,fallback_verified,recent_fallback,2025,,4404,22017,missing,,,,official_primary,,,https://rlsbj.cq.gov.cn/zwgk_182/zfxxgkml/zcwj_145360/jfxzgfxwj/202509/t20250919_15024385.html,,true,true,官方下限是4404，不是4403。
sichuan,四川,fallback_verified_reprint,recent_fallback,2025,,4588,22938,missing,,,,official_local_reprint,,,https://rsj.yaan.gov.cn/xinwen/show/05f5a92513584af1395fdc63c3dc0fcd.html,,true,true,地方人社官方页给出灵活就业档位和20%比例；后续补省人社原文。
guizhou,贵州,fallback_verified_formula,recent_fallback_derived,2025,7324.5,4394.7,21973.5,missing,,,,official_primary_formula_derived,https://rst.guizhou.gov.cn/zwgk/zfxxgk/fdzdgknr/qtfdxx/ggfwsx/202509/t20250919_88635347.html,https://guizhou.chinatax.gov.cn/xwzx/ztzl/qysdshsqjzl/xxwlqyssyhzc/202206/t20220621_75101588.html,,,true,false,2025官方全口径月平均工资7324.5；贵州官方规则明确企业职工养老上下限按60%和300%核定，因此公式保底为4394.7—21973.5。2026最新年平均工资88521已找到公开转载，但正式自动接入前仍补贵州人社当前原文直链及最终取整口径。
yunnan,云南,current_secondary_candidate,current,2026,7339,4403,22017,missing,,,,official_notice_reported_by_xinhua,,,https://www.yn.news.cn/20260829/77b8cbc9d5d3436fae154f284755e76e/c.html,,true,false,新华社/央媒已确认云人社发〔2026〕8号及4403—22017；自动带入前仍补云南人社/税务原文。
xizang,西藏,fallback_verified_reprint,recent_fallback,2025,11777,7066.2,35331,missing,,,,official_local_reprint,,,https://hrss.lasa.gov.cn/rsj/xxyw/202509/94481a07de4044239c6111a6cc4936ba.shtml,,true,true,拉萨人社官方页转载自治区参数；说明平均工资用于缴费和待遇计发，灵活就业有60/80/100/150/200/300档。
shaanxi,陕西,partial_verified,recent_fallback,2025,,4650,23250,recent_fallback,2025,7881,yuan/month,mixed_official_primary_and_corrob,,,https://shaanxi.chinatax.gov.cn/art/2025/9/30/art_5383_698154.html,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12472847&stockid=000516,true,false,2025缴费上下限4650—23250已有陕西税务正式通告直链；灵活就业60%—300%规则另有陕西人社直源。7881计发基数仍仅为公开文件引述人社数据，因此计发值继续降级为公开披露参考。
gansu,甘肃,current_verified,current,2026,7542,4526,22626,missing,,,,official_primary_repost,,,https://zwfw.gansu.gov.cn/jiuquan/zczx/jqyw/art/2026/art_e7467f7bccaf485fb93880312f551b39.html,,true,true,以最终公布值为准，不能使用此前临时预设区间。
qinghai,青海,fallback_verified_formula,recent_fallback_derived,2025,8816,5289.6,26448,recent_fallback,2025,9056,yuan/month,official_text_republished_formula_derived,http://rsj.haibei.gov.cn/xwzx/tzgg/9282861.html,https://consult.17win.com/yqconsult-web-ssr/taxQuestionDetail/145/192537/article,,http://rsj.haibei.gov.cn/xwzx/tzgg/9282861.html,true,false,青人社厅发〔2025〕69号明确社会保险基数8816和养老金计发基数9056；2026官方政策文本再次明确2025上限按8816×300%=26448并以8816×60%作为下限计算基础。5289.6为确定性公式值；在拿到2025官方25档附件直链前不把它冒充公告直接值。
ningxia,宁夏,fallback_verified,recent_fallback,2025,,4955,24774,recent_fallback,2025,8366,yuan/month,official_primary,,,https://hrss.nx.gov.cn/xxgk/zcj/zcfg/shbz/202509/t20250921_5030586.html,https://hrss.nx.gov.cn/xxgk/zcj/zcfg/shbz/202509/t20250921_5030586.html,true,true,2026官方站有新的“社会保险相关参数”通知，但当前抓取正文主要为其他参数，暂不据此替换2025缴费/计发值。
xinjiang,新疆,fallback_verified_officially_carried,recent_fallback,2025,8448,5069,25344,missing,,,,official_primary,,,https://rst.xinjiang.gov.cn/xjrst/zcwj/202509/18cb0640282f47ed96226e02a95a9270.shtml,,true,true,2026官方办税口径明确新参数公布前继续使用2025上下限，属于有官方延续依据的保底值。
